Provincias	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2022	47475420
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2021	47385107
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2020	47450795
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2019	47026208
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2018	46722980
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2017	46572132
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2016	46557008
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2015	46624382
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2014	46771341
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2013	47129783
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2012	47265321
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2011	47190493
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2010	47021031
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2009	46745807
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2008	46157822
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2007	45200737
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2006	44708964
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2005	44108530
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2004	43197684
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2003	42717064
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2002	41837894
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2001	41116842
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	2000	40499791
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	1999	40202160
TOTAL ESPAÑA	TOTAL EDADES	TOTAL	Ambos sexos	1998	39852651
02 Albacete	TOTAL EDADES	TOTAL	Ambos sexos	2022	385727
02 Albacete	TOTAL EDADES	TOTAL	Ambos sexos	2021	386464
02 Albacete	TOTAL EDADES	TOTAL	Ambos sexos	2020	388270
02 Albacete	TOTAL EDADES	TOTAL	Ambos sexos	2019	388167
02 Albacete	TOTAL EDADES	TOTAL	Ambos sexos	2018	388786
02 Albacete	TOTAL EDADES	TOTAL	Ambos sexos	2017	390032
02 Albacete	TOTAL EDADES	TOTAL	Ambos sexos	2016	392118
02 Albacete	TOTAL EDADES	TOTAL	Ambos sexos	2015	394580
